GIJON;AGUDA;GIJON-2;CAMINO DEL CURULLU, 71;CEPSA
GIJON;GIJON;GIJON-96;CARRETERA VIESQUES KM. S/N;REPSOL
GIJON;GIJON;GIJON-95;CARRETERA AS-248 KM. 20;REPSOL
GIJON;GIJON;GIJON-79;CARRETERA AS-247 KM. 1;WASHMAX
GIJON;GIJON;GIJON-80;CL SANTA DORADIA 22;REPSOL
GIJON;GIJON;GIJON-86;CALLE CARRETERA CARBONERA , (GASOLINERA), 52;REPSOL
GIJON;GIJON;GIJON-87;CALLE FERNANDEZ LADREDA, 45;REPSOL
GIJON;GIJON;GIJON-81;CALLE CARMEN, 24;REPSOL
GIJON;GIJON;GIJON-88;AVENIDA PORTUGAL, 44;REPSOL
GIJON;GIJON;GIJON-94;CALLE SEVERO OCHOA, 36;CEPSA
GIJON;GIJON;GIJON-93;AVENIDA CONSTITUCION, 105;CEPSA
GIJON;GIJON;GIJON-92;AVENIDA CONSTITUCION, 220;REPSOL
GIJON;GIJON;GIJON-69;AUTOPISTA AS -2 KM. 22;ALCAMPO
GIJON;GIJON;GIJON-71;CALLE NICOLAS COPERNICO, 311;EASYGAS
GIJON;GIJON;GIJON-72;POLIGONO DE ROCES, Nº 5 - CARRETERA CARBONERA,, 2230;LA COOPERATIVA
GIJON;GIJON;GIJON-67;AVENIDA ROCES, N;BALLENOIL
GIJON;GIJON;GIJON-84;CALLE GRAHAM BELL, 575;BP GIJON - CARBONERA
GIJON;MAREO DE ABAJO;GIJON-123;AUTOVIA AS-I KM. 37;CEPSA
GIJON;MAREO DE ABAJO;GIJON-122;CARRETERA AS-246 KM. 28,7;CEPSA
GIJON;GRANDA DE ABAJO;GIJON-102;CARRETERA AS-248 KM. 3,600;REPSOL
GIJON;GIJON;GIJON-77;AVENIDA DE LA ARGENTINA, S/N;GALP
GIJON;VERIÑA;GIJON-223;CARRETERA AS-19 KM. 4,4;REPSOL
CARRENO;TAM ON;CARRENO-206;AUTOVIA A-8 KM. 401,5;PETRONOR
CARRENO;CARRENO;CARRENO-36;POLIGONO DE TABAZA II, PARCELA 28 (AS-110 km 7,8);AVIA
CARRENO;CARRENO;CARRENO-38;VÍA AS-110, 7;BP - CARRENO
CORVERA DE ASTURIAS;SILVOTA;CORVERA DE ASTURIAS-203;CARRETERA AVILES - GIJON KM. 12,500;VALCARCE (GHC )
CARRENO;BARCA (LA);CARRENO-21;LUGAR LA BARCA, S/N;ESOIL
CORVERA DE ASTURIAS;TRASMONTE;CORVERA DE ASTURIAS-216;COMPLEJO CENTRO COMERCIAL PARQUE ASTUR, S/N;REPSOL
CORVERA DE ASTURIAS;CORVERA DE ASTURIAS;CORVERA DE ASTURIAS-55;CARRETERA AS-19 KM. 19,4;CEPSA
CORVERA DE ASTURIAS;CAMPOS (LOS);CORVERA DE ASTURIAS-28;CARRETERA AS-17 KM. 3,5;GALP
AVILES;VILLALEGRE (AVILES);AVILES-227;CALLE SANTA APOLONIA, 161;REPSOL
AVILES;AVILES;AVILES-10;AVDA. CRISTOBAL COLÓN, S/N;SHELL
AVILES;AVILES;AVILES-19;TRAVESIA LOS CANAPES, 2;CEPSA
AVILES;LLARANES;AVILES-113;AVENIDA GIJON, 70;REPSOL
AVILES;AVILES;AVILES-9;CALLE ESTIBADORES, 1;BALLENOIL
AVILES;AVILES;AVILES-7;CALLE BUENAVISTA, 63;ZEPXA ECO
AVILES;AVILES;AVILES-13;CARRETERA AS-238 (PARQ. EMPRES. PRINCIPADO ASTURIAS KM. 0,8;REPSOL
AVILES;AVILES;AVILES-12;AVDA. DE LOS TELARES, 27 (N-632 km 94,4);CEPSA
AVILES;AVILES;AVILES-18;AVENIDA CONDE GUADALHORCE, 69;LA RÍA
AVILES;AVILES;AVILES-17;CALLE BUENAVISTA, 100;SHELL
AVILES;AVILES;AVILES-11;AVDA. DE SAN AGUSTÍN S/N;SHELL
AVILES;AVILES;AVILES-14;AVENIDA DE LUGO, 24;REPSOL
AVILES;AVILES;AVILES-16;AVENIDA DE LUGO, 50;PLENOIL
AVILES;AVILES;AVILES-15;TRAVESÍA TORNO DEL, 2;PETROPRIX AVILES
